WilayahJawaBarat,2018,2019,2020,Total,ID
Provinsi Jawa Barat,8.23,8.04,10.46,26.73,1
Bogor,9.83,9.11,14.29,33.23,2
Sukabumi,7.84,8.05,9.6,25.49,3
Cianjur,10.23,9.81,11.05,31.09,4
Bandung,5.07,5.51,8.58,19.16,5
Garut,7.12,7.35,8.95,23.42,6
Tasikmalaya,6.92,6.31,7.12,20.35,7
Ciamis,4.64,5.16,5.66,15.46,8
Kuningan,9.1,9.68,11.22,30,9
Cirebon,10.64,10.35,11.52,32.51,10
Majalengka,5,4.37,5.84,15.21,11
Sumedang,7.54,7.7,9.89,25.13,12
Indramayu,8.46,8.35,9.21,26.02,13
Subang,8.71,8.68,9.48,26.87,14
Purwakarta,9.94,9.73,11.07,30.74,15
Karawang,9.12,9.68,11.52,30.32,16
Bekasi,9.74,9,11.54,30.28,17
Bandung Barat,8.55,8.24,12.25,29.04,18
Pangandaran,3.59,4.52,5.08,13.19,19
Kota Bogor,9.74,9.16,12.68,31.58,20
Kota Sukabumi,8.57,8.49,12.17,29.23,21
Kota Bandung,8.05,8.18,11.19,27.42,22
Kota Cirebon,9.07,9.04,10.97,29.08,23
Kota Bekasi,9.14,8.3,10.68,28.12,24
Kota Depok,6.66,6.12,9.87,22.65,25
Kota Cimahi,8,8.09,13.3,29.39,26
Kota Tasikmalaya,6.89,6.78,7.99,21.66,27
Kota Banjar,5.95,6.16,6.73,18.84,28
